index,number_of_day,mounth,day_of_week,type_of_car,car_number,mass_of_trash,size_of_trash,density,tmax,tmin
26,1,Январь,пятница,Газон,Н849ТТ,2340,22,"106,3636364",-28°,-32°
27,1,Январь,пятница,Самосвал,Н861ТТ154,5120,44,"116,3636364",-28°,-32°
28,1,Январь,пятница,Грузовая,Н915РУ154,1000,"28,9","34,60207612",-28°,-32°
29,1,Январь,пятница,КМУ,Н275ОС154,0,167,0,-28°,-32°
30,1,Январь,пятница,Фусо,Н547ТТ154,0,0,0,-28°,-32°
31,1,Январь,пятница,Фусо,Н586ТТ154,11880,"176,88","67,1641791",-28°,-32°
32,1,Январь,пятница,Боковая,В036АС147,1540,"17,64","87,3015873",-28°,-32°
33,1,Январь,пятница,Боковая,Н403МВ154,3600,"47,12","76,40067912",-28°,-32°
34,1,Январь,пятница,Боковая,Н405МВ154,3980,"36,93","107,7714595",-28°,-32°
35,1,Январь,пятница,Задняя,К281ВС154,25020,"250,63","99,82843235",-28°,-32°
36,1,Январь,пятница,Задняя,К404СВ154,0,0,0,-28°,-32°
37,1,Январь,пятница,Задняя,К910ЕА154,17840,"265,8","67,11813394",-28°,-32°
38,1,Январь,пятница,Задняя,М011ХЕ32,24260,"222,4","109,0827338",-28°,-32°
39,1,Январь,пятница,Задняя,Н561УУ154,25060,"227,5","110,1538462",-28°,-32°
40,1,Январь,пятница,Задняя,Н590УУ154,28600,"347,52","82,29742173",-28°,-32°
41,1,Январь,пятница,Задняя,Н853НР123,6980,"130,24","53,59336609",-28°,-32°
42,1,Январь,пятница,Задняя,Х787КН750,0,0,0,-28°,-32°
43,1,Январь,пятница,Задняя,В432СХ178,0,0,0,-28°,-32°
44,1,Январь,пятница,Задняя,К170ВС154,23200,"258,49","89,75202135",-28°,-32°
45,1,Январь,пятница,Задняя,Н208УУ154,17540,"197,56","88,78315448",-28°,-32°
46,1,Январь,пятница,Задняя,Н236УУ154,20500,"268,73","76,28474677",-28°,-32°
47,1,Январь,пятница,Задняя,Н252УУ154,16600,"221,62","74,9029871",-28°,-32°
48,1,Январь,пятница,Задняя,Н260УУ154,0,0,0,-28°,-32°
49,1,Январь,пятница,Задняя,Н263УУ154,40520,"289,24","140,0912737",-28°,-32°
50,1,Январь,пятница,Задняя,Н509ТТ154,21340,"318,01","67,10480802",-28°,-32°
51,1,Январь,пятница,Задняя,Н513ТТ154,14180,"141,9","99,92952784",-28°,-32°
52,1,Январь,пятница,Задняя,Н548ТТ154,20620,"225,04","91,62815499",-28°,-32°
53,1,Январь,пятница,Задняя,Н590ТТ154,21180,"307,11","68,96551724",-28°,-32°
54,1,Январь,пятница,Задняя,Н864ТТ154,23640,"283,76","83,3098393",-28°,-32°
55,1,Январь,пятница,Задняя,О369АР750,1540,24,"64,16666667",-28°,-32°
56,1,Январь,пятница,Задняя,Т237ВВ750,9500,"208,4","45,58541267",-28°,-32°
57,1,Январь,пятница,Задняя,Т551РС69,38420,"427,9","89,78733349",-28°,-32°
58,2,Январь,суббота,Бункеровоз,В297КЕ147,2400,32,75,-27°,-33°
59,2,Январь,суббота,Бункеровоз,К721ВС154,1440,24,60,-27°,-33°
60,2,Январь,суббота,Бункеровоз,Н726РУ154,3880,48,"80,83333333",-27°,-33°
61,2,Январь,суббота,Бункеровоз,Н991НУ154,3040,32,95,-27°,-33°
62,2,Январь,суббота,Мультилифт,К801ВА154,2760,"35,16","78,49829352",-27°,-33°
63,2,Январь,суббота,Мультилифт,Н416НС154,0,0,0,-27°,-33°
64,2,Январь,суббота,Мультилифт,Н869МК154,2700,24,"112,5",-27°,-33°
65,2,Январь,суббота,ГАЗ,В149НА,0,0,0,-27°,-33°
66,2,Январь,суббота,Самосвал,К693СА154,3080,34,"90,58823529",-27°,-33°
67,2,Январь,суббота,Самосвал,К722ВС154,2460,33,"74,54545455",-27°,-33°
68,2,Январь,суббота,Самосвал,К836ВС154,2380,22,"108,1818182",-27°,-33°
69,2,Январь,суббота,Самосвал,Н200НХ154,2520,16,"157,5",-27°,-33°
70,2,Январь,суббота,Самосвал,Н283УУ154,1780,"41,58","42,80904281",-27°,-33°
71,2,Январь,суббота,Самосвал,Н300УУ154,2480,22,"112,7272727",-27°,-33°
72,2,Январь,суббота,Грузовая,Н344РТ154,1940,16,"121,25",-27°,-33°
73,2,Январь,суббота,Грузовая,Н345РК154,1820,"19,4","93,81443299",-27°,-33°
74,2,Январь,суббота,Грузовая,Н412РК154,3920,"48,5","80,82474227",-27°,-33°
75,2,Январь,суббота,Грузовая,Н419РК154,2060,"19,4","106,185567",-27°,-33°
76,2,Январь,суббота,Грузовая,Н515РТ154,0,0,0,-27°,-33°
77,2,Январь,суббота,Самосвал,Н534ТТ154,2160,22,"98,18181818",-27°,-33°
78,2,Январь,суббота,Самосвал,Н576ТТ154,1380,11,"125,4545455",-27°,-33°
79,2,Январь,суббота,Грузовая,Н583РТ154,1400,16,"87,5",-27°,-33°
80,2,Январь,суббота,Самосвал,Н585ТТ154,1800,22,"81,81818182",-27°,-33°
81,2,Январь,суббота,Самосвал,Н587ТТ154,1580,11,"143,6363636",-27°,-33°
82,2,Январь,суббота,Самосвал,Н589ТТ154,1600,22,"72,72727273",-27°,-33°
83,2,Январь,суббота,Грузовая,Н833ТТ154,1300,16,"81,25",-27°,-33°
84,2,Январь,суббота,Газон,Н849ТТ,2660,22,"120,9090909",-27°,-33°
85,2,Январь,суббота,Самосвал,Н861ТТ154,3760,44,"85,45454545",-27°,-33°
86,2,Январь,суббота,Грузовая,Н915РУ154,2000,16,125,-27°,-33°
87,2,Январь,суббота,КМУ,Н275ОС154,8280,"190,9","43,37349398",-27°,-33°
88,2,Январь,суббота,Фусо,Н547ТТ154,0,0,0,-27°,-33°
89,2,Январь,суббота,Фусо,Н586ТТ154,17080,"182,51","93,58391321",-27°,-33°
90,2,Январь,суббота,Боковая,В036АС147,0,0,0,-27°,-33°
91,2,Январь,суббота,Боковая,Н403МВ154,2460,"33,56","73,30154946",-27°,-33°
92,2,Январь,суббота,Боковая,Н405МВ154,2000,"31,91","62,67627703",-27°,-33°
93,2,Январь,суббота,Задняя,К281ВС154,17780,"249,2","71,34831461",-27°,-33°
94,2,Январь,суббота,Задняя,К404СВ154,0,0,0,-27°,-33°
95,2,Январь,суббота,Задняя,К910ЕА154,3320,"68,86","48,21376706",-27°,-33°
96,2,Январь,суббота,Задняя,М011ХЕ32,11600,"212,41","54,61136481",-27°,-33°
97,2,Январь,суббота,Задняя,Н561УУ154,14620,"219,14","66,71534179",-27°,-33°
98,2,Январь,суббота,Задняя,Н590УУ154,9700,"246,29","39,38446547",-27°,-33°
99,2,Январь,суббота,Задняя,Н853НР123,6880,"89,1","77,21661055",-27°,-33°
100,2,Январь,суббота,Задняя,Х787КН750,0,0,0,-27°,-33°
101,2,Январь,суббота,Задняя,В432СХ178,0,0,0,-27°,-33°
102,2,Январь,суббота,Задняя,К170ВС154,17800,"379,32","46,92607825",-27°,-33°
103,2,Январь,суббота,Задняя,Н208УУ154,7900,"167,97","47,03220813",-27°,-33°
104,2,Январь,суббота,Задняя,Н236УУ154,11020,"223,3","49,35064935",-27°,-33°
105,2,Январь,суббота,Задняя,Н252УУ154,5540,"199,84","27,72217774",-27°,-33°
106,2,Январь,суббота,Задняя,Н260УУ154,12320,"213,88","57,60239387",-27°,-33°
107,2,Январь,суббота,Задняя,Н263УУ154,17760,"294,74","60,25649725",-27°,-33°
108,2,Январь,суббота,Задняя,Н509ТТ154,24460,"321,03","76,19225618",-27°,-33°
109,2,Январь,суббота,Задняя,Н513ТТ154,25980,231,"112,4675325",-27°,-33°
110,2,Январь,суббота,Задняя,Н548ТТ154,7200,"109,5","65,75342466",-27°,-33°
111,2,Январь,суббота,Задняя,Н590ТТ154,17220,"283,61","60,71718205",-27°,-33°
112,2,Январь,суббота,Задняя,Н864ТТ154,7500,"220,54","34,00743629",-27°,-33°
113,2,Январь,суббота,Задняя,О369АР750,13120,"164,04","79,98049256",-27°,-33°
114,2,Январь,суббота,Задняя,Т237ВВ750,0,0,0,-27°,-33°
115,2,Январь,суббота,Задняя,Т551РС69,18840,"312,4","60,30729834",-27°,-33°
116,3,Январь,воскресенье,Бункеровоз,В297КЕ147,5720,48,"119,1666667",-26°,-31°
117,3,Январь,воскресенье,Бункеровоз,К721ВС154,2740,48,"57,08333333",-26°,-31°
118,3,Январь,воскресенье,Бункеровоз,Н726РУ154,1540,16,"96,25",-26°,-31°
119,3,Январь,воскресенье,Бункеровоз,Н991НУ154,2200,32,"68,75",-26°,-31°
120,3,Январь,воскресенье,Мультилифт,К801ВА154,3040,"32,02","94,94066209",-26°,-31°
121,3,Январь,воскресенье,Мультилифт,Н416НС154,0,0,0,-26°,-31°
122,3,Январь,воскресенье,Мультилифт,Н869МК154,1460,24,"60,83333333",-26°,-31°
123,3,Январь,воскресенье,ГАЗ,В149НА,1020,16,"63,75",-26°,-31°
124,3,Январь,воскресенье,Самосвал,К693СА154,2080,34,"61,17647059",-26°,-31°
125,3,Январь,воскресенье,Самосвал,К722ВС154,3300,33,100,-26°,-31°
126,3,Январь,воскресенье,Самосвал,К836ВС154,1120,22,"50,90909091",-26°,-31°
127,3,Январь,воскресенье,Самосвал,Н200НХ154,2280,24,95,-26°,-31°
128,3,Январь,воскресенье,Самосвал,Н283УУ154,3560,33,"107,8787879",-26°,-31°
129,3,Январь,воскресенье,Самосвал,Н300УУ154,2260,33,"68,48484848",-26°,-31°
130,3,Январь,воскресенье,Грузовая,Н344РТ154,960,24,40,-26°,-31°
131,3,Январь,воскресенье,Грузовая,Н345РК154,1780,"19,4","91,75257732",-26°,-31°
132,3,Январь,воскресенье,Грузовая,Н412РК154,4900,"48,5","101,0309278",-26°,-31°
133,3,Январь,воскресенье,Грузовая,Н419РК154,3300,"19,4","170,1030928",-26°,-31°
134,3,Январь,воскресенье,Грузовая,Н515РТ154,2480,24,"103,3333333",-26°,-31°
135,3,Январь,воскресенье,Самосвал,Н534ТТ154,1080,11,"98,18181818",-26°,-31°
136,3,Январь,воскресенье,Самосвал,Н576ТТ154,2560,44,"58,18181818",-26°,-31°
137,3,Январь,воскресенье,Грузовая,Н583РТ154,1080,16,"67,5",-26°,-31°
138,3,Январь,воскресенье,Самосвал,Н585ТТ154,2660,22,"120,9090909",-26°,-31°
139,3,Январь,воскресенье,Самосвал,Н587ТТ154,1280,33,"38,78787879",-26°,-31°
140,3,Январь,воскресенье,Самосвал,Н589ТТ154,2780,33,"84,24242424",-26°,-31°
141,3,Январь,воскресенье,Грузовая,Н833ТТ154,680,8,85,-26°,-31°
142,3,Январь,воскресенье,Газон,Н849ТТ,3440,33,"104,2424242",-26°,-31°
143,3,Январь,воскресенье,Самосвал,Н861ТТ154,2020,22,"91,81818182",-26°,-31°
144,3,Январь,воскресенье,Грузовая,Н915РУ154,1940,16,"121,25",-26°,-31°
145,3,Январь,воскресенье,КМУ,Н275ОС154,5940,"169,9","34,9617422",-26°,-31°
146,3,Январь,воскресенье,Фусо,Н547ТТ154,0,0,0,-26°,-31°
147,3,Январь,воскресенье,Фусо,Н586ТТ154,9120,"161,94","56,3171545",-26°,-31°
148,3,Январь,воскресенье,Боковая,В036АС147,0,0,0,-26°,-31°
149,3,Январь,воскресенье,Боковая,Н403МВ154,3340,"73,95","45,16565247",-26°,-31°
150,3,Январь,воскресенье,Боковая,Н405МВ154,1500,"38,4","39,0625",-26°,-31°
151,3,Январь,воскресенье,Задняя,К281ВС154,20440,"259,7","78,70619946",-26°,-31°
152,3,Январь,воскресенье,Задняя,К404СВ154,0,0,0,-26°,-31°
153,3,Январь,воскресенье,Задняя,К910ЕА154,5220,"71,06","73,45904869",-26°,-31°
154,3,Январь,воскресенье,Задняя,М011ХЕ32,14800,"205,2","72,12475634",-26°,-31°
155,3,Январь,воскресенье,Задняя,Н561УУ154,20280,"224,64","90,27777778",-26°,-31°
156,3,Январь,воскресенье,Задняя,Н590УУ154,11980,"192,72","62,16272312",-26°,-31°
157,3,Январь,воскресенье,Задняя,Н853НР123,15200,"146,28","103,910309",-26°,-31°
158,3,Январь,воскресенье,Задняя,Х787КН750,5940,"86,57","68,61499365",-26°,-31°
159,3,Январь,воскресенье,Задняя,В432СХ178,0,0,0,-26°,-31°
160,3,Январь,воскресенье,Задняя,К170ВС154,19900,"272,78","72,9525625",-26°,-31°
161,3,Январь,воскресенье,Задняя,Н208УУ154,10780,"159,83","67,44666208",-26°,-31°
162,3,Январь,воскресенье,Задняя,Н236УУ154,14900,"201,74","73,85744027",-26°,-31°
163,3,Январь,воскресенье,Задняя,Н252УУ154,15440,"189,72","81,38309087",-26°,-31°
164,3,Январь,воскресенье,Задняя,Н260УУ154,16200,"215,28","75,25083612",-26°,-31°
165,3,Январь,воскресенье,Задняя,Н263УУ154,22760,"288,8","78,80886427",-26°,-31°
166,3,Январь,воскресенье,Задняя,Н509ТТ154,21280,"315,31","67,48913767",-26°,-31°
167,3,Январь,воскресенье,Задняя,Н513ТТ154,15700,"286,44","54,81078062",-26°,-31°
168,3,Январь,воскресенье,Задняя,Н548ТТ154,12340,"153,8","80,23407022",-26°,-31°
169,3,Январь,воскресенье,Задняя,Н590ТТ154,14240,"294,98","48,27445929",-26°,-31°
170,3,Январь,воскресенье,Задняя,Н864ТТ154,14540,"264,1","55,05490345",-26°,-31°
171,3,Январь,воскресенье,Задняя,О369АР750,5840,"139,66","41,81583846",-26°,-31°
172,3,Январь,воскресенье,Задняя,Т237ВВ750,15180,"155,9","97,37010904",-26°,-31°
173,3,Январь,воскресенье,Задняя,Т551РС69,27660,"305,8","90,45127534",-26°,-31°
174,4,Январь,понедельник,Бункеровоз,В297КЕ147,3320,48,"69,16666667",-26°,-31°
175,4,Январь,понедельник,Бункеровоз,К721ВС154,3540,40,"88,5",-26°,-31°
176,4,Январь,понедельник,Бункеровоз,Н726РУ154,3900,56,"69,64285714",-26°,-31°
177,4,Январь,понедельник,Бункеровоз,Н991НУ154,4480,40,112,-26°,-31°
178,4,Январь,понедельник,Мультилифт,К801ВА154,5100,48,"106,25",-26°,-31°
179,4,Январь,понедельник,Мультилифт,Н416НС154,3220,27,"119,2592593",-26°,-31°
180,4,Январь,понедельник,Мультилифт,Н869МК154,4440,48,"92,5",-26°,-31°
181,4,Январь,понедельник,ГАЗ,В149НА,1280,16,80,-26°,-31°
182,4,Январь,понедельник,Самосвал,К693СА154,1220,17,"71,76470588",-26°,-31°
183,4,Январь,понедельник,Самосвал,К722ВС154,2340,22,"106,3636364",-26°,-31°
184,4,Январь,понедельник,Самосвал,К836ВС154,2280,22,"103,6363636",-26°,-31°
185,4,Январь,понедельник,Самосвал,Н200НХ154,4440,24,185,-26°,-31°
186,4,Январь,понедельник,Самосвал,Н283УУ154,2020,22,"91,81818182",-26°,-31°
187,4,Январь,понедельник,Самосвал,Н300УУ154,5960,44,"135,4545455",-26°,-31°
188,4,Январь,понедельник,Грузовая,Н344РТ154,4600,24,"191,6666667",-26°,-31°
189,4,Январь,понедельник,Грузовая,Н345РК154,3080,"19,4","158,7628866",-26°,-31°
190,4,Январь,понедельник,Грузовая,Н412РК154,7120,"58,2","122,3367698",-26°,-31°
191,4,Январь,понедельник,Грузовая,Н419РК154,5560,"48,5","114,6391753",-26°,-31°
192,4,Январь,понедельник,Грузовая,Н515РТ154,2360,24,"98,33333333",-26°,-31°
193,4,Январь,понедельник,Самосвал,Н534ТТ154,2740,22,"124,5454545",-26°,-31°
194,4,Январь,понедельник,Самосвал,Н576ТТ154,6320,44,"143,6363636",-26°,-31°
195,4,Январь,понедельник,Грузовая,Н583РТ154,3840,24,160,-26°,-31°
196,4,Январь,понедельник,Самосвал,Н585ТТ154,3360,33,"101,8181818",-26°,-31°
197,4,Январь,понедельник,Самосвал,Н587ТТ154,1200,33,"36,36363636",-26°,-31°
198,4,Январь,понедельник,Самосвал,Н589ТТ154,5360,33,"162,4242424",-26°,-31°
199,4,Январь,понедельник,Грузовая,Н833ТТ154,3500,24,"145,8333333",-26°,-31°
200,4,Январь,понедельник,Газон,Н849ТТ,5780,44,"131,3636364",-26°,-31°
201,4,Январь,понедельник,Самосвал,Н861ТТ154,2680,22,"121,8181818",-26°,-31°
202,4,Январь,понедельник,Грузовая,Н915РУ154,4500,24,"187,5",-26°,-31°
203,4,Январь,понедельник,КМУ,Н275ОС154,6320,"193,1","32,72915588",-26°,-31°
204,4,Январь,понедельник,Фусо,Н547ТТ154,0,0,0,-26°,-31°
205,4,Январь,понедельник,Фусо,Н586ТТ154,18360,"152,06","120,7418124",-26°,-31°
206,4,Январь,понедельник,Боковая,В036АС147,2960,"51,69","57,26446121",-26°,-31°
207,4,Январь,понедельник,Боковая,Н403МВ154,4320,"72,29","59,75930281",-26°,-31°
208,4,Январь,понедельник,Боковая,Н405МВ154,2300,"29,9","76,92307692",-26°,-31°
209,4,Январь,понедельник,Задняя,К281ВС154,19080,"254,31","75,02654241",-26°,-31°
210,4,Январь,понедельник,Задняя,К404СВ154,12980,"210,8","61,57495256",-26°,-31°
211,4,Январь,понедельник,Задняя,К910ЕА154,4240,"105,16","40,31951312",-26°,-31°
212,4,Январь,понедельник,Задняя,М011ХЕ32,14320,"214,56","66,74123788",-26°,-31°
213,4,Январь,понедельник,Задняя,Н561УУ154,25460,"250,36","101,6935613",-26°,-31°
214,4,Январь,понедельник,Задняя,Н590УУ154,13160,"233,81","56,28501775",-26°,-31°
215,4,Январь,понедельник,Задняя,Н853НР123,7340,"183,24","40,05675617",-26°,-31°
216,4,Январь,понедельник,Задняя,Х787КН750,8040,"119,57","67,24094673",-26°,-31°
217,4,Январь,понедельник,Задняя,В432СХ178,0,0,0,-26°,-31°
218,4,Январь,понедельник,Задняя,К170ВС154,19280,"274,47","70,24447116",-26°,-31°
219,4,Январь,понедельник,Задняя,Н208УУ154,14100,"203,47","69,29768516",-26°,-31°
220,4,Январь,понедельник,Задняя,Н236УУ154,14240,"247,28","57,58654157",-26°,-31°
221,4,Январь,понедельник,Задняя,Н252УУ154,14920,"218,95","68,14341174",-26°,-31°
222,4,Январь,понедельник,Задняя,Н260УУ154,0,0,0,-26°,-31°
223,4,Январь,понедельник,Задняя,Н263УУ154,19060,"309,04","61,6748641",-26°,-31°
224,4,Январь,понедельник,Задняя,Н509ТТ154,25320,"319,99","79,12747273",-26°,-31°
225,4,Январь,понедельник,Задняя,Н513ТТ154,15700,"233,2","67,32418525",-26°,-31°
226,4,Январь,понедельник,Задняя,Н548ТТ154,15440,"197,97","77,99161489",-26°,-31°
227,4,Январь,понедельник,Задняя,Н590ТТ154,24700,"312,58","79,01977094",-26°,-31°
228,4,Январь,понедельник,Задняя,Н864ТТ154,14780,"277,16","53,32659835",-26°,-31°
229,4,Январь,понедельник,Задняя,О369АР750,10760,"144,6","74,41217151",-26°,-31°
230,4,Январь,понедельник,Задняя,Т237ВВ750,10760,"163,1","65,97179644",-26°,-31°
231,4,Январь,понедельник,Задняя,Т551РС69,27120,"314,6","86,20470439",-26°,-31°
232,5,Январь,вторник,Бункеровоз,В297КЕ147,4340,48,"90,41666667",-26°,-32°
233,5,Январь,вторник,Бункеровоз,К721ВС154,1120,24,"46,66666667",-26°,-32°
234,5,Январь,вторник,Бункеровоз,Н726РУ154,680,8,85,-26°,-32°
235,5,Январь,вторник,Бункеровоз,Н991НУ154,5000,56,"89,28571429",-26°,-32°
236,5,Январь,вторник,Мультилифт,К801ВА154,2580,"33,5","77,01492537",-26°,-32°
237,5,Январь,вторник,Мультилифт,Н416НС154,0,0,0,-26°,-32°
238,5,Январь,вторник,Мультилифт,Н869МК154,1880,24,"78,33333333",-26°,-32°
239,5,Январь,вторник,ГАЗ,В149НА,1500,16,"93,75",-26°,-32°
240,5,Январь,вторник,Самосвал,К693СА154,4000,34,"117,6470588",-26°,-32°
241,5,Январь,вторник,Самосвал,К722ВС154,1540,11,140,-26°,-32°
242,5,Январь,вторник,Самосвал,К836ВС154,2120,22,"96,36363636",-26°,-32°
243,5,Январь,вторник,Самосвал,Н200НХ154,3760,16,235,-26°,-32°
244,5,Январь,вторник,Самосвал,Н283УУ154,2840,33,"86,06060606",-26°,-32°
245,5,Январь,вторник,Самосвал,Н300УУ154,3120,22,"141,8181818",-26°,-32°
246,5,Январь,вторник,Грузовая,Н344РТ154,5900,32,"184,375",-26°,-32°
247,5,Январь,вторник,Грузовая,Н345РК154,3480,"19,4","179,3814433",-26°,-32°
248,5,Январь,вторник,Грузовая,Н412РК154,7340,"48,5","151,3402062",-26°,-32°
249,5,Январь,вторник,Грузовая,Н419РК154,4020,"29,1","138,1443299",-26°,-32°
250,5,Январь,вторник,Грузовая,Н515РТ154,2180,24,"90,83333333",-26°,-32°
251,5,Январь,вторник,Самосвал,Н534ТТ154,5860,33,"177,5757576",-26°,-32°
252,5,Январь,вторник,Самосвал,Н576ТТ154,5720,44,130,-26°,-32°
253,5,Январь,вторник,Грузовая,Н583РТ154,4040,24,"168,3333333",-26°,-32°
254,5,Январь,вторник,Самосвал,Н585ТТ154,3680,22,"167,2727273",-26°,-32°
255,5,Январь,вторник,Самосвал,Н587ТТ154,4000,77,"51,94805195",-26°,-32°
256,5,Январь,вторник,Самосвал,Н589ТТ154,3280,22,"149,0909091",-26°,-32°
257,5,Январь,вторник,Грузовая,Н833ТТ154,4260,32,"133,125",-26°,-32°
258,5,Январь,вторник,Газон,Н849ТТ,6180,33,"187,2727273",-26°,-32°
259,5,Январь,вторник,Самосвал,Н861ТТ154,1760,33,"53,33333333",-26°,-32°
260,5,Январь,вторник,Грузовая,Н915РУ154,4080,24,170,-26°,-32°
261,5,Январь,вторник,КМУ,Н275ОС154,6460,"189,9","34,01790416",-26°,-32°
262,5,Январь,вторник,Фусо,Н547ТТ154,0,0,0,-26°,-32°
263,5,Январь,вторник,Фусо,Н586ТТ154,13060,"202,36","64,53844633",-26°,-32°
264,5,Январь,вторник,Боковая,В036АС147,1100,"36,08","30,48780488",-26°,-32°
265,5,Январь,вторник,Боковая,Н403МВ154,4900,"77,82","62,96581856",-26°,-32°
266,5,Январь,вторник,Боковая,Н405МВ154,0,0,0,-26°,-32°
267,5,Январь,вторник,Задняя,К281ВС154,19640,"247,2","79,44983819",-26°,-32°
268,5,Январь,вторник,Задняя,К404СВ154,6560,"109,56","59,8758671",-26°,-32°
269,5,Январь,вторник,Задняя,К910ЕА154,13300,"191,62","69,40820374",-26°,-32°
270,5,Январь,вторник,Задняя,М011ХЕ32,15260,"216,7","70,41993539",-26°,-32°
271,5,Январь,вторник,Задняя,Н561УУ154,9820,"227,94","43,08151268",-26°,-32°
272,5,Январь,вторник,Задняя,Н590УУ154,13860,"224,18","61,82531894",-26°,-32°
273,5,Январь,вторник,Задняя,Н853НР123,4200,"125,18","33,55168557",-26°,-32°
274,5,Январь,вторник,Задняя,Х787КН750,6300,"95,7","65,830721",-26°,-32°
275,5,Январь,вторник,Задняя,В432СХ178,0,0,0,-26°,-32°
276,5,Январь,вторник,Задняя,К170ВС154,18000,"251,66","71,52507351",-26°,-32°
277,5,Январь,вторник,Задняя,Н208УУ154,10660,"166,87","63,88206388",-26°,-32°
278,5,Январь,вторник,Задняя,Н236УУ154,13840,"242,44","57,08628939",-26°,-32°
279,5,Январь,вторник,Задняя,Н252УУ154,12740,"196,32","64,89405053",-26°,-32°
280,5,Январь,вторник,Задняя,Н260УУ154,0,0,0,-26°,-32°
281,5,Январь,вторник,Задняя,Н263УУ154,19920,"303,1","65,7208842",-26°,-32°
282,5,Январь,вторник,Задняя,Н509ТТ154,21680,"329,61","65,77470344",-26°,-32°
283,5,Январь,вторник,Задняя,Н513ТТ154,18240,"284,76","64,05394016",-26°,-32°
284,5,Январь,вторник,Задняя,Н548ТТ154,12240,"138,7","88,2480173",-26°,-32°
285,5,Январь,вторник,Задняя,Н590ТТ154,21360,"292,04","73,14066566",-26°,-32°
286,5,Январь,вторник,Задняя,Н864ТТ154,14320,"234,7","61,0140605",-26°,-32°
287,5,Январь,вторник,Задняя,О369АР750,10280,"188,38","54,57054889",-26°,-32°
288,5,Январь,вторник,Задняя,Т237ВВ750,12820,"169,1","75,81312833",-26°,-32°
289,5,Январь,вторник,Задняя,Т551РС69,24860,"315,7","78,7456446",-26°,-32°
290,6,Январь,среда,Бункеровоз,В297КЕ147,5040,56,90,-23°,-30°
291,6,Январь,среда,Бункеровоз,К721ВС154,3060,48,"63,75",-23°,-30°
292,6,Январь,среда,Бункеровоз,Н726РУ154,6380,80,"79,75",-23°,-30°
293,6,Январь,среда,Бункеровоз,Н991НУ154,4280,48,"89,16666667",-23°,-30°
294,6,Январь,среда,Мультилифт,К801ВА154,3240,"38,5","84,15584416",-23°,-30°
295,6,Январь,среда,Мультилифт,Н416НС154,6740,24,"280,8333333",-23°,-30°
296,6,Январь,среда,Мультилифт,Н869МК154,3700,12,"308,3333333",-23°,-30°
297,6,Январь,среда,ГАЗ,В149НА,0,0,0,-23°,-30°
298,6,Январь,среда,Самосвал,К693СА154,2680,17,"157,6470588",-23°,-30°
299,6,Январь,среда,Самосвал,К722ВС154,2320,22,"105,4545455",-23°,-30°
300,6,Январь,среда,Самосвал,К836ВС154,4380,33,"132,7272727",-23°,-30°
301,6,Январь,среда,Самосвал,Н200НХ154,6380,32,"199,375",-23°,-30°
